,Jobs,Companies,Locations,Salaries,Summaries,Link_Page
0,Technical Business Analyst - Fund Services,Mainstream Group Holdings Limited,Sydney NSW,"$90,000 a year","Mainstream is looking for a Technical Business Analyst to join our IT team. This role will be responsible for the provision of concise business requirements for projects, accurate and timely reporting for clients, external third parties and internal stakeholders, maintain reports to ensure data is aligned to stakeholder and client requirements and provide support for the transition of new clients to company systems. Key responsibilities: Develop and document business requirements for projects, ensuring effective stakeholder management with internal and external contacts Develop and deliver reports to ensure the company meets its external reporting requirements Develop and maintain reports using Crystal Reports Provide subject matter expertise for reporting and data sources Provide new client set-up/transition support with specific focus on data migration Undertake user acceptance testing associated with projects and transitions Develop succinct procedural documentation for end users Other ad hoc projects and responsibilities as required This is a challenging role in a fast-paced, dynamic environment that would suit an excellent problem solver, who has a high attention to detail and an ability to adapt to changes in business requirements and priorities. keen sense of initiative. To be successful, you will need to have at least 2 years’ experience working within the IT industry and/or financial services environment in a similar role, with demonstrable experience in SQL, scripting, C#, Visual Basic and designing, developing and updating Crystal reports. Good technical and functional knowledge and understanding of SOAP / REST / Web services is essential, as is a sound knowledge of MS infrastructure and general networking principles. Exceptional documentation skills for writing concise business requirements are also essential. Experience with application integration, data transformation, or with any leading enterprise service bus (ESB) products would be an advantage, and knowledge of JAVA is preferred. Tertiary qualifications in IT / Business / Finance would also be an advantage. efinancialcareers AU - 26 days ago - save job - original job View or apply to job Other jobs you may like Technical Business Analyst - Financial Crimes... Infopeople - Sydney NSW 2 hours ago Technical Business Analyst - ITSM AustCorp Executive - Sydney NSW 22 hours ago Technical Business Analyst TL Consulting Group NSW Pty Ltd - Sydney NSW 1 day ago Ogilvy - Technical Business Analyst Ogilvy - Sydney NSW 19 days ago Business Analyst - Australian Owned FMCG Michael Page - Sydney Central Business District NSW Michael Page AU - 21 days ago Technical Business Analyst jobs in Sydney NSW Jobs at Mainstream Group Holdings in Sydney NSW",https://au.indeed.com/viewjob?jk=5379707f3bee5fe7&from=tp-serp&tk=1c3d3vrgk10a84em
1,Business Analyst - Australian Owned FMCG,Michael Page,Sydney Central Business District NSW,"$80,000 - $90,000 a year","Initial 12 month contract $80,000 - $90,000 + Super About Our Client We are currently representing one of Australia's largest and most well established FMCG organisations. The business is currently experiencing a rapid period of growth, meaning a need for a strong Business Analyst to sit within the FP&A team has become essential. Job Description Reporting to the Commercial Manager, you will have a strong focus on engaging with non-financial stakeholders. Your responsibilities will include: Generating management reports daily, weekly and monthly and provide insightful information to senior leadership Lead development of financial reports that provides consistent and accurate information Identify areas of business opportunity and financial information to improve processes using advanced analytics Maintain relationships and open communication across all levels of the business Drive report requests, report building and automation The Successful Applicant The successful applicant will have a relevant Finance qualification, preferably CPA/CA. Have at least 2 year's experience as a Business Analyst. Possess the ability to work autonomously on several projects, often to very tight time frames. Proficient with Excel and a renowned ERP system. What's on Offer Excellent company benefits CBD location An excellent opportunity for a Business Analyst looking to gain valuable FMCG industry exposure Contact: Ross MacDonald Quote job ref: 107407107 0282922157 Save Job Apply We are currently representing one of Australia's largest and most well established FMCG organisations. The business is currently experiencing a rapid period of growth, meaning a need for a strong Business Analyst to sit within the FP&A team has become essential. Job Description Reporting to the Commercial Manager, you will have a strong focus on engaging with non-financial stakeholders. Your responsibilities will include: Generating management reports daily, weekly and monthly and provide insightful information to senior leadership Lead development of financial reports that provides consistent and accurate information Identify areas of business opportunity and financial information to improve processes using advanced analytics Maintain relationships and open communication across all levels of the business Drive report requests, report building and automation The Successful Applicant The successful applicant will have a relevant Finance qualification, preferably CPA/CA. Have at least 2 year's experience as a Business Analyst. Possess the ability to work autonomously on several projects, often to very tight time frames. Proficient with Excel and a renowned ERP system. What's on Offer Excellent company benefits CBD location An excellent opportunity for a Business Analyst looking to gain valuable FMCG industry exposure "", ""baseSalary"": { ""@type"": ""MonetaryAmount"", ""currency"": ""AUD"", ""minValue"" : ""80000"", ""maxValue"" : ""90000"" }, ""jobLocation"" : { ""@type"" : ""Place"", ""address"" : { ""@type"" : ""PostalAddress"", ""addressLocality"" : ""Sydney CBD"", ""addressRegion"" : ""Australia"" } } } Function: Accounting & Finance Specialisation: Business Analysis Industry: Fast Moving Consumer Goods (FMCG) Location: Sydney CBD Contract Type: Temporary Salary: AU$80,000 - AU$90,000 Consultant name: Ross MacDonald Consultant phone: 0282922157 Michael Page AU - 21 days ago - save job - original job View or apply to job Other jobs you may like FP&A Analyst Hays - Sydney NSW 5 days ago Business Analyst Hays - Sydney NSW 18 days ago Business Analyst Chandler Macleod - Sydney NSW 4 hours ago TM1 Business Analyst/Solution Designer FutureYou - Sydney NSW FutureYou Executive Recruitment - 1 day ago Development Engineer,Business Analyst, Tester SoftLabs Pty Ltd - Sydney NSW 17 hours ago Easily apply to this job Business Analyst jobs in Sydney Central Business District NSW Jobs at Michael Page in Sydney Central Business District NSW",https://au.indeed.com/viewjob?jk=646b614fd86cc58b&from=tp-serp&tk=1c3d3vrgk10a84em
2,Business Analyst - 3 days a week - Melbourne Airport Location,Michael Page,Melbourne Northern Suburbs VIC,Nothing Found,"Great Part Time Role Excellent Culture About Our Client Our client is a global organisation that has developed a strong presence in Australia over the past 30 years. With a strong culture of emphasising work life balance - this role will be highly flexible requiring 22 hours of work that can be completed when the successful candidate chooses. Job Description Working closely with a variety of internal stakeholders you will be required to; Assist in Budget preparation Assist with Monthly reporting Monitor business unit performance and conduct variance analysis Other ad hoc duties The Successful Applicant You will be a driven finance professional with excellent communication and stakeholder management skills. You will also meet the below criteria; Accounting Qualification (CPA) Sound knowledge of financial principles Ability to generate meaningful reports from a variety of different data sources Strong Excel skills What's on Offer Your commitment in delivering the best outcomes for the business will be rewarded with a lucrative package. You will be working within a global multinational business that will offer excellent career opportunities moving forward. Contact: Jake Densley Quote job ref: 107389819 +61 3 9607 5629 Save Job Apply Our client is a global organisation that has developed a strong presence in Australia over the past 30 years. With a strong culture of emphasising work life balance - this role will be highly flexible requiring 22 hours of work that can be completed when the successful candidate chooses. Job Description Working closely with a variety of internal stakeholders you will be required to; Assist in Budget preparation Assist with Monthly reporting Monitor business unit performance and conduct variance analysis Other ad hoc duties The Successful Applicant You will be a driven finance professional with excellent communication and stakeholder management skills. You will also meet the below criteria; Accounting Qualification (CPA) Sound knowledge of financial principles Ability to generate meaningful reports from a variety of different data sources Strong Excel skills What's on Offer Your commitment in delivering the best outcomes for the business will be rewarded with a lucrative package. You will be working within a global multinational business that will offer excellent career opportunities moving forward. "", ""jobLocation"" : { ""@type"" : ""Place"", ""address"" : { ""@type"" : ""PostalAddress"", ""addressLocality"" : ""Northern Suburbs Melbourne"", ""addressRegion"" : ""Australia"" } } } Function: Accounting & Finance Specialisation: Business Analysis Industry: Retail Location: Northern Suburbs Melbourne Contract Type: Temporary Consultant name: Jake Densley Consultant phone: +61 3 9607 5629 Michael Page AU - 7 days ago - save job - original job View or apply to job Other jobs you may like Part-Time Customer Service Job in Broadmeadow... Adecco Group - Melbourne Northern Suburbs VIC Adecco - 27 days ago Business Analyst - Wholesale Foxtel - Moonee Ponds VIC FOXTEL - 7 days ago Business Analyst | $45 - $50ph | 6 Month Cont... Robert Half Australia - Melbourne Eastern Suburbs VIC 21 days ago Business Analyst Michael Page - Melbourne Eastern Suburbs VIC Michael Page AU - 4 days ago FACTORIE | PLANNING ANALYST | GLOBAL SUPPORT... Factorie - Geelong VIC 3 days ago Business Analyst jobs in Melbourne Northern Suburbs VIC Jobs at Michael Page in Melbourne Northern Suburbs VIC",https://au.indeed.com/viewjob?jk=6f7800e8a640d622&from=tp-serp&tk=1c3d3vrgk10a84em
3,Business Analyst,AIG,Melbourne VIC,Nothing Found,"Functional Area: TH - Other Estimated Travel Percentage (%): Up to 25% Relocation Provided: No AIG Australia Limited This is a 12 month contract opportunity. Who we are Join 65,000 AIG colleagues who work together every day to make a difference around the world. Our employees exemplify our values of diversity, inclusion, and global citizenship – and in return, we offer world-class opportunities that lead to exciting careers across a broad range of disciplines. Discover who you can become at AIG. Your future team Picture yourself building a successful career at AIG working alongside other talented, highly motivated individuals committed to reaching our goal of becoming the #1 insurance provider. We believe that our success depends on building a world class team. If you would like to be a part of our team, we invite you to consider putting your talents to work with the Operations team. Your contribution at AIG As an influencer at AIG, people come to you as a “go-to” source for help and support because of your deep knowledge and expertise. As a more experienced team member, you are capable of driving continual improvement and impacting the way that things get done. Because of your influence, whether direct or indirect, we are able to deliver powerful outcomes for our clients. Key Accountabilities Take the customer on a journey to lead in documenting and defining business requirements and developing system specifications to solve business problems Provide consultation and guidance to client and development management and staff in all phases of solution, documentation, development and implementation Manage customer expectations on realistic requirements and if not realistic provide alterative options and ensure our customer understands the constraints Conduct research and analysis to quantify business opportunities and issues Works as an intermediary between business units to support business operations, Serves as subject matter expert associated with content, processes, and procedures Analyze and evaluates business needs and provides technical direction and recommendations to create or develop new functionality Analyze business needs and modify an existing functionality Work on projects with a narrow to moderately wide (office, statewide, regional) scope involving multiple systems Works with business unit to address opportunities for improvements in processes and mitigate issues as they arise between business units through research and analysis Facilitate transfer of information and problem resolution between business units Analyze business flow and reports to make recommendations to management for improvements in information flow and systems set-up Assist with the development of formal recommendations for presentation to management What we are looking for Ability to learn leading methods, process models and associated tools & techniques Detail analysis and design skills Demonstrated ability to work both autonomously and within a tean environment Experience in process identification, definition and mapping Strong PC and documentation skills e.g. Excel, Word and PowerPoint Strong written and verbal communication skills Ability to acquire new skills and apply these in challenging environments Able to work within agreed decision making standards, limitations and authorities Comply with key regulatory and risk management responsibilities It has been and will continue to be the policy of American International Group, Inc., its subsidiaries and affiliates to be an Equal Opportunity Employer. We provide equal opportunity to all qualified individuals regardless of race, color, religion, age, gender, gender expression, national origin, veteran status, disability or any other legally protected categories. At AIG, we believe that diversity and inclusion are critical to our future and our mission – creating a foundation for a creative workplace that leads to innovation, growth, and profitability. Through a wide variety of programs and initiatives, we invest in each employee, seeking to ensure that our people are not only respected as individuals, but also truly valued for their unique perspectives 21 days ago - save job - original job View or apply to job Other jobs you may like Collaboration Business Analyst KPMG - Melbourne VIC 1 day ago Digital Business Analyst Squiz - Melbourne VIC 23 minutes ago Easily apply to this job Business Analyst Premiumit Recruitment. - Melbourne VIC 1 day ago Business Analyst - Data/Financial Melbourne,... Salt Recruitment - Melbourne VIC 1 day ago Business Analyst Just Digital People - Melbourne VIC 2 hours ago Business Analyst jobs in Melbourne VIC Jobs at AIG in Melbourne VIC",https://au.indeed.com/viewjob?jk=2fb8cc9c4b709e08&from=tp-serp&tk=1c3d3vrgk10a84em
4,Systems Analyst,Qantas Airways Limited,Sydney NSW,Nothing Found,"Mascot Corporate Campus Attractive remuneration package + benefits & more! Newly created role within our systems team At Qantas, our strong beliefs guide the way we work, ensuring everything we do stays true to our customers and this iconic brand. We won’t settle for anything less than the best outcome. We’re a high performing team, and we each have the opportunity to add value and make an impact on the business. We see expectations as a challenge and push forward knowing we’ve got backup Your new role will see you be part of a small team responsible for the development and support of the business rule sets that drive and configure the planning systems across multiple Qantas flight and cabin crew groups. Working closely with a team of pattern planners and roster allocation officers you will ensure the business rules meet CASA compliance, EBA conditions and business efficiency objectives. You will also work on the optimisation and configuration of a range of business improvement initiatives. In addition, you will act as a central point of contact for crew planning business rule configuration, translating business requirements into system requirements and solution design. Furthermore, you will develop changes to the crew planning business rule sets, undertaking testing and release of new business rule sets and supporting the crew planning teams in modelling various business scenarios. You’ll have - Strong software development skills Good analytical and problem-solving skills Strong mathematical skills, especially in optimisation Previous experience in a similar role within a corporate environment Expertise in the Python programming language The ability to work independently and be self-motivated The ability to effectively translate complex business ideas and requirements to specifications The ability to write clear and concise analysis, design, and test documentation A degree in mathematics, operations research, or software development Previous experience in Jeppesen RAVE programming language (desirable) Detailed knowledge of crew planning systems, including Manpower Planning, Pairing and Rostering (desirable) Qantas is an equal opportunity employer, so by coming to work for us, you’ll be part of an organisation that encourages diversity, supports charities and environmental initiatives. We encourage Aboriginal and Torres Strait Islander, and people of all backgrounds to apply. Be a part of something special and play your part in the Qantas story – get in touch today. Applications close Sunday January 14, 2018 18 days ago - save job - original job View or apply to job Other jobs you may like System Support Analyst Allianz - Sydney NSW 8 hours ago Easily apply to this job System Analyst - North Sydney Michael Page - Sydney NSW Michael Page AU - 3 days ago Systems Analyst Perceptor - Sydney NSW 6 days ago MRI Systems Support and Process Analyst JLL - Sydney NSW 7 days ago Learning And Talent Systems Analyst AGL Energy - Sydney NSW 5 days ago System Analyst jobs in Sydney NSW Jobs at Qantas Airways in Sydney NSW",https://au.indeed.com/viewjob?jk=3843950fc133e946&from=tp-serp&tk=1c3d3vrgk10a84em
5,Business Analyst (Agile),EnergyAustralia,Melbourne VIC,Nothing Found,"Business Analyst (Agile) Apply now Job no: 500143 Work type: Contractor/Temp Location: Victoria Categories: Information Technology 3 x 12 months contract opportunities Agile and Digital focus Immediate start in the new year EnergyAustralia is one of Australia's largest energy companies providing smart, innovative energy solutions for 1.7 million customers. We're in an exciting transformation and are committed to becoming a world-class organisation with the customer at the heart of everything we do. Over NextGen division has established an Incubator to rapidly develop, test and iterate new products, services & customer experiences and determine best products and/or services to launch into the market. About the role We are hiring 3 Business Analysts. Your primary responsibility is to work with business partners to understand customer needs and translate those needs into defined scope through, user journeys, use cases and user stories. You will be responsible for; Defining customer needs at the ideation/discovery stage to scoping Creating agile user stories, user journeys and use cases Engaging with business stakeholders and SMEs in the preparation of project briefs, user journeys and user stories Eliciting, developing and documenting requirements Identifying business-related risks, issues and dependencies What we are looking for: Demonstrated BA expertise in an agile and digital environment Effective gathering and management of customer and business needs, to translate into appropriate user stories and user journeys Strong knowledge of digital applications and technologies Engaging and maintaining strong working relationships with internal and external stakeholders Interested? If you share our passion for making customers a priority, doing the right thing, leading change and want to be part of an organisation focused on making a positive impact, click the 'Apply"" button to submit your application. Any queries no answered in this ad please contact Tania Quach on (03) 8628 162 or tania.quach@energyaustralia.com.au All applications are to be submitted via the advertisement and not emailed directly to us. Application will close on 16 th January 2017. Please note our offices close from Monday 25 th December to Friday 5 th January. We may not be able to get back to you until the week of the 8 th of January but we will do our best. 21 days ago - save job - original job View or apply to job Other jobs you may like Collaboration Business Analyst KPMG - Melbourne VIC 1 day ago Digital Business Analyst Squiz - Melbourne VIC 23 minutes ago Easily apply to this job Business Analyst Premiumit Recruitment. - Melbourne VIC 1 day ago Business Analyst - Data/Financial Melbourne,... Salt Recruitment - Melbourne VIC 1 day ago Business Analyst Just Digital People - Melbourne VIC 2 hours ago Business Analyst jobs in Melbourne VIC Jobs at EnergyAustralia in Melbourne VIC",https://au.indeed.com/viewjob?jk=c7127602543662db&from=tp-serp&tk=1c3d3vrgk10a84em
6,Business Analyst,University of New South Wales,Kensington NSW,"$83,653 - $89,238 a year","Business Analyst UNSW Business School One of Australia’s leading research & teaching universities Vibrant campus life with a strong sense of community & inclusion Enjoy a career that makes a difference by collaborating & learning from the best At UNSW, we pride ourselves on being a workplace where the best people come to do their best work. UNSW Business School is a leader in business education and research in the Asian region and one of the largest Business Schools in Australia with more than 15,000 students, 500 academic and professional staff and more than 80,000 alumni and partners. The Business School offers a full suite of business degree programs at undergraduate, postgraduate, coursework and research levels, including the AGSM MBA programs and a range of Executive Programs. Its direction is guided by a business advisory council of leading CEOs, chairpersons and other business leaders. About the role $83,653 - $89,238 + 9.5% superannuation and leave loading 6 Months Fixed Term, Full Time The Opportunity The Business Analyst will play a pivotal role in driving change initiatives within the Business School and will be responsible for conducting end-to-end process reviews and developing service catalogues. Key responsibilities include: Review business operations and processes to improve quality of output and increase standardisation Work with stakeholders and subject matter experts to ensure deliverables reflect best practice Work with the business to identify and analyse business processes, policies, forms and workflows Facilitate workshops and interviews with Stakeholders and identify further training requirements Create clear and detailed documentation of outputs and business requirements Develop a benefits realisation plan for each initiative and work with stakeholders to agree on initiative benefits prior to start of implementation About the successful applicant You are an experienced business analyst with exceptional analytical, planning and problem-solving skills with an exposure to facilitating workshops and focus groups. Specific requirements include: Strong skills in process mapping and business process re-engineering using Lean methodology Experience facilitating workshops and focus groups and delivering outcomes that challenge the status quo Demonstrated strength in business stakeholder engagement; Excellent written and verbal communication skills Experience developing procedural documentation and presentations for a senior management audience High level of competence in project and process related tools, including MS Office and MS Visio. How to apply: Submit your application through www.jobs.unsw.edu.au , applications will not be accepted if sent to the contact listed. Please review the position documentation and systematically address the selection criteria in your application. Contact Lachlan Wilson Human Resources Officer E: l.wilson@unsw.edu.au T: (61 2) 9385 6431 Applications close: 11.59pm 16 th January 2018 7 days ago - save job - original job Apply Now Other jobs you may like Business Analyst HCF - Sydney Central Business District NSW 3 hours ago Infrastructure Business Analyst Continuum Recruitment - Sydney NSW 6 hours ago Business Analyst Chandler Macleod - Sydney NSW 4 hours ago Business Analyst - 3 Month Contract Perigon Group - Sydney NSW 10 hours ago TM1 Business Analyst/Solution Designer FutureYou - Sydney NSW FutureYou Executive Recruitment - 1 day ago Business Analyst jobs in Kensington NSW",https://au.indeed.com/viewjob?jk=266e333394e6575f&from=tp-serp&tk=1c3d3vrgk10a84em
7,Business Analyst,Cumberland Council,Sydney NSW,"$1,639 - $1,885 a week","Cumberland Council is in the process of implementing the TechnologyOne OneCouncil local government solution – this project is called Project 360. The project is about to enter a second phase which is to implement the modules across customer service, regulatory and compliance, property and rates and records management. This project stemmed from the amalgamation of two former Councils and thus involves the transformation of the delivery of Council services from multiple technology platforms into a single enterprise platform. The project involves standardisation of business processes and procedures into one platform with significant data migration effort. The P360 project is seeking to fill a number of business analyst roles to provide project discipline and technical support to stakeholders in one of a number project streams. To be considered for this position you will have: Tertiary qualifications in a related field or extensive relevant experience. A well-developed knowledge of (NSW) local government corporate business systems. Proven experience working in a large scale business systems implementation and transformation project with demonstrable understanding of the role of a business analyst in a project environment. Strong leadership skills including the ability to influence across the organization. Strong written and verbal communications skills. Excellent analytical, research and presentation skills. Council is committed to providing an accessible, safe and inclusive workplace for all. If you require additional support or any reasonable adjustments during the recruitment process, please let us know during the application process. Download the position description here for more information. Salary: Employment is under the Local Government (State) Award. This position is placed in Grade 17 of Cumberland / Auburn salary structure with a salary range of $1,638.98 to $1,884.82 per week plus superannuation. Commencement salary will depend upon qualifications, experience and competencies. Conditions of Employment: This is fixed term twelve (12) months position which will be initially located at Auburn, however there is the possibility that you may be working across Merrylands and/or Auburn worksites. Position File Number: SP-CC-74 Enquiries : Telephone Lawrence Tsen on 8757 9976 for further information. Closing Date: 11:30pm, Wednesday 17 January 2018 5 days ago - save job - original job View or apply to job Other jobs you may like Business Analyst HCF - Sydney Central Business District NSW 3 hours ago Infrastructure Business Analyst Continuum Recruitment - Sydney NSW 6 hours ago Business Analyst Chandler Macleod - Sydney NSW 4 hours ago TM1 Business Analyst/Solution Designer FutureYou - Sydney NSW FutureYou Executive Recruitment - 1 day ago Development Engineer,Business Analyst, Tester SoftLabs Pty Ltd - Sydney NSW 17 hours ago Easily apply to this job Business Analyst jobs in Sydney NSW Jobs at Cumberland Council in Sydney NSW",https://au.indeed.com/viewjob?jk=7a10db84efc22223&from=tp-serp&tk=1c3d3vrgk10a84em
8,Business Analyst,Deloitte,Sydney NSW,Nothing Found,"Creativity is encouraged; innovation is expected. Flexibility, opportunity and incredible experiences are rewards that fall in conjunction with the hard work required to succeed at Deloitte. We champion and support our talented people in achieving their career goals and collectively celebrate their successes. About our Team The Audit Transformation team is responsible for delivering change initiatives and helping the business with developing its strategy as well as the wider firm strategy. The primary focus is to deliver operational efficiencies and adherence to strategic firm-wide implementation. About the Role You will work with creative and dynamic stakeholders as part of a highly experienced team. You will be required to inform, engage and support Deloitte Australia’s Audit Transformation business. Supported by the Streamlining Business Partner and Transformation Director, you will engage Stakeholders at all levels to understand and analyse firm wide business improvement/ streamlining opportunities. You genuinely believe that your ‘can do’ attitude, energy and determination are your differentiator! We are looking for team members who are dynamic, bring an innovative perspective to promote collaboration, best practice sharing and emulate the ‘best’ of Deloitte. The key responsibilities of this role will include: Ability to work on a variety of projects from inception to completion, to understand, assist with documenting and tracking the business needs and requirements throughout the project life-cycle Ability to analyse requirements, assisting to create functional specifications, use cases, and both business and technical process flow diagrams. Ability to facilitate communication between technical and non-technical audiences assisting with technology solutions fulfil the client’s business needs Assisting with managing and communicating issues, risks and implement corrective action where appropriate The successful candidate will have experience in a similar role involving process improvement / process re-engineering. This role will see you partner with key business stakeholders and advise on recommendations and changes. Further to this, you will have: Experience with Microsoft Office Tools (Word, PPT. Excel, Visio and Project) The ability to operate in an often rapidly changing environment; demonstrated flexibility in approach and attitude Ability to take ownership for tasks and manage competing priorities within specified times Good communication skills Experience in preparing reports Experience in a Professional Services firm or willingness to learn About Deloitte We pride ourselves on our team of diverse, high performing Deloitte Professionals who are talented, supportive, inclusive and social – and who are at the heart of our success. From day one at our firm, you are a part of our Deloitte community, and our development and career progression framework will help you develop the skills and capabilities you need to succeed. Wellness of our people and our ability to offer flexible, tailored working arrangements is at the centre of our business to ensure our staff are supported, encouraged and feel a sense of purpose and meaning in what they do each day, which is key to our success .We create a workplace that encourages collaboration, creativity, inclusiveness and the true spirit of 'And different'. If you have questions regarding this role, please contact Chelsey Hatchett on 02 8260 6172 in the Talent Acquisition Team for confidential discussion. Deloitte Touche Tohmatsu is the DTTL member firm in Australia (“Deloitte Australia”). “Deloitte” is the brand under which tens of thousands of dedicated professionals in independent firms throughout the world collaborate to provide audit, consulting,financial advisory, risk management, tax and related services to select clients. Requisition code: AUEXP143833 30+ days ago - save job - original job View or apply to job Other jobs you may like Business Analyst HCF - Sydney Central Business District NSW 3 hours ago Infrastructure Business Analyst Continuum Recruitment - Sydney NSW 6 hours ago Business Analyst Chandler Macleod - Sydney NSW 4 hours ago TM1 Business Analyst/Solution Designer FutureYou - Sydney NSW FutureYou Executive Recruitment - 1 day ago Development Engineer,Business Analyst, Tester SoftLabs Pty Ltd - Sydney NSW 17 hours ago Easily apply to this job Business Analyst jobs in Sydney NSW Jobs at Deloitte in Sydney NSW",https://au.indeed.com/viewjob?jk=55c9c1a644b6c625&from=tp-serp&tk=1c3d3vrgk10a84em
9,Business Analyst,Department of Health and Human Services,Melbourne VIC,"$81,354 - $92,304 a year","Number of vacancies available: 1 x Fixed Term (1 year) Office Location(s): 50 Londsdale Street,Melbourne VIC 3000 Position Summary: The Business Analyst will work within the Strategy and Design Unit and engage with a range of internal and external business and technical stakeholders to understand and evaluate key requirements and support the delivery of effective solutions to satisfy those requirements. The role requires a dynamic individual who can work effectively on their own across several simpler concurrent initiatives or as part of a team for more complex initiatives. The role will also support the development of ICT strategies and policies. The role requires a dynamic individual who can adapt to changing environments and is open to learning through practice. Are you : able to build consensus around clear and concise business requirements in a complex environment? able to manage competing priorities to deliver timely and fit-for-purpose outcomes across concurrent initiatives? open to learning and continuously developing your BA capabilities through practice? ------------------------------------------------------------------------------------------------- Victorian Government - 7 days ago - save job - original job View or apply to job Other jobs you may like Collaboration Business Analyst KPMG - Melbourne VIC 1 day ago Digital Business Analyst Squiz - Melbourne VIC 23 minutes ago Easily apply to this job Business Analyst Premiumit Recruitment. - Melbourne VIC 1 day ago Business Analyst - Data/Financial Melbourne,... Salt Recruitment - Melbourne VIC 1 day ago Business Analyst Just Digital People - Melbourne VIC 2 hours ago Business Analyst jobs in Melbourne VIC",https://au.indeed.com/viewjob?jk=c4382f69abb764a3&from=tp-serp&tk=1c3d3vrgk10a84em
