,Jobs,Companies,Locations,Salaries,Summaries,Link_Page
0,Technical Business Analyst - Fund Services,Mainstream Group Holdings Limited,Sydney NSW,"$90,000 a year","Mainstream is looking for a Technical Business Analyst to join our IT team. This role will be responsible for the provision of concise business requirements for projects, accurate and timely reporting for clients, external third parties and internal stakeholders, maintain reports to ensure data is aligned to stakeholder and client requirements and provide support for the transition of new clients to company systems. Key responsibilities: Develop and document business requirements for projects, ensuring effective stakeholder management with internal and external contacts Develop and deliver reports to ensure the company meets its external reporting requirements Develop and maintain reports using Crystal Reports Provide subject matter expertise for reporting and data sources Provide new client set-up/transition support with specific focus on data migration Undertake user acceptance testing associated with projects and transitions Develop succinct procedural documentation for end users Other ad hoc projects and responsibilities as required This is a challenging role in a fast-paced, dynamic environment that would suit an excellent problem solver, who has a high attention to detail and an ability to adapt to changes in business requirements and priorities. keen sense of initiative. To be successful, you will need to have at least 2 years’ experience working within the IT industry and/or financial services environment in a similar role, with demonstrable experience in SQL, scripting, C#, Visual Basic and designing, developing and updating Crystal reports. Good technical and functional knowledge and understanding of SOAP / REST / Web services is essential, as is a sound knowledge of MS infrastructure and general networking principles. Exceptional documentation skills for writing concise business requirements are also essential. Experience with application integration, data transformation, or with any leading enterprise service bus (ESB) products would be an advantage, and knowledge of JAVA is preferred. Tertiary qualifications in IT / Business / Finance would also be an advantage. efinancialcareers AU - 26 days ago - Save Job - Original Job View or apply to job Other Jobs You May Like Technical Business Analyst - Financial Crimes... Infopeople - Sydney NSW 3 hours ago Technical Business Analyst - ITSM AustCorp Executive - Sydney NSW 23 hours ago Technical Business Analyst TL Consulting Group NSW Pty Ltd - Sydney NSW 1 day ago Ogilvy - Technical Business Analyst Ogilvy - Sydney NSW 19 days ago Business Analyst - Australian Owned FMCG Michael Page - Sydney Central Business District NSW Michael Page AU - 21 days ago Technical Business Analyst jobs in Sydney NSW Jobs at Mainstream Group Holdings in Sydney NSW",https://au.indeed.com/viewjob?jk=5379707f3bee5fe7&from=tp-serp&tk=1c3d5uqob10ar706
1,Business Performance Manager (Motor Claims),IAG,Sydney NSW,Nothing Found,"#CLOSER #BRAVER #FASTER The Role The Business Performance Manager position provides a unique contribution with a blend of business, data & technical skills to analyse performance and identify insights to support decision making within Short Tail Claims. You will be leading a team of analysts to identify trends & insights across the end to end Motor claims journey. You will enable the delivery of reporting, deep dive analysis and forecasting to make recommendations for performance improvements. Key Responsibilities Define a performance framework for Motor claims Provide highly effective customer & operational reports and insights that enable a clear, fact-based view of customer ‘performance' to inform operational decision-making. Measure and evaluate Motor claims performance to identify process improvement opportunities and efficiencies. Support the delivery of claims costs, FTE and TCE budgets and forecasts Build and maintain a supportive, collaborative & transparent working relationships across STC teams and the wider business. Demonstrate Closer, Braver, Faster and by living our values in spirit. Skills & Experience 8 years' experience with analytical role using data to provide recommendations to business. Experience leading a high performing team and deliver capability uplift within a changing environment. Build and maintain collaborative working relationships and effective participation in leadership team environment. Sound negotiation and influencing skills. Excellent PC skills, including reporting & analysis tools such as SQL, Tableau, Cognos, SAS, MS Excel. In depth knowledge of the end to end Claims process and preferably with significant years' experience in performance analytics About Us At IAG, we believe that everyone has a unique point of view to share, shaped by their life experiences, cultures & passions. We celebrate and commit to: #Proud to be me – we value difference, not sameness #Together – harnessing our collective wisdom enables us to be our best for our customers & each other #No boxes – it's not about labels, boxes or categories. It's about building a diverse and inclusive mindset into everything we do IAG is the largest general insurance group in Australia and New Zealand. IAG owns some of the region's most trusted brands, including NRMA Insurance, CGU, SGIO, SGIC, WFI and Swann Insurance. Let's Talk Start your career journey with us and click ‘Apply'! In addition to a diverse and inclusive culture, some of our benefits include 13% superannuation, 50% insurance discounts, flexible work and leave options, generous parental leave and return to work program, recognition and reward program, and various corporate partner discounts. We encourage Aboriginal and Torres Strait Islanders to apply for this position. 4 days ago - save job - original job » Apply Now Please review all application instructions before applying to IAG. Apply Now Other jobs you may like Product Performance Manager Interpro - Sydney NSW 30+ days ago Easily apply to this job Performance Manager FutureYou - Sydney NSW FutureYou Executive Recruitment - 26 days ago Digital Performance Manager FutureYou - Sydney NSW FutureYou Executive Recruitment - 10 days ago Business Performance and Analytics Manager Mars Recruitment Australia - Sydney NSW 5 days ago",https://au.indeed.com/viewjob?jk=a22c2d721a8c9fc5&from=tp-serp&tk=1c3d5uqob10ar706
2,Business/Information Analyst,Talent International,Canberra ACT,$95 an hour,"An exciting opportunity for a Business/Information Analyst has presented itself through a reputable Government agency. 6 MONTH CONTRACT CANBERRA OR SYDNEY LOCATION FEBRUARY START The Business/Information Analyst will bridge the business and technical domains of the client. This will entail providing 2nd level business support for the collaboration systems such as SharePoint, liaising with business, users and ITS representatives to capture, understand and document business requirements, business processes and support key business systems. The role will also assist with developing high level solutions and system designs to meet the business requirements as well as assisting with information and records management systems and practice. Key Duties: Assist with 2nd level business support tasks for key business systems (SharePoint 2013) and share knowledge within the team. design practical solutions that improve business productivity and outcomes Provide systems configuration and administration for MS SharePoint to support business objectives and expectations, ensuring that solutions match defined information design and management standards. Provide business and information analysis services for Information and Technology Services (ITS) requests, system enhancements and major projects which may include the development of: scoping documents including schedules and cost estimates and functional specifications business requirements (including running workshops with stakeholders) and use cases for new and existing systems, drawing together information needs from across the organisation. Work with the Services Managers to deliver the key Business Systems strategic objectives. Work closely with ITS and business project teams to ensure requirements are well understood, solutions tested, technical issues recorded and tracked, changes implemented, and business objectives met. Work closely with the Manager, Business Change to deliver user training and create training artefacts. Proactively drive improvements in business systems by identifying and analysing user issues, and lead the development of improvement initiatives, such as capability training or system enhancements. Working with the Services Managers, implement and champion corporate initiatives and projects for information and records management systems and promote Information Management practices. Develop and manage strong working relationships with internal and external stakeholders across multiple streams to achieve common objectives. Work collaboratively as part of a small team environment to meet project schedules. Manage assigned tasks and small projects with minimal direction. Champion effective information practices and contribute to the achievement of the clients information management strategies and practices. Selection Criteria: Experience working as a Business and/or Information Analyst in medium to large scale environment, including the ability to: Provide superior 2nd level business and technical support for business systems including SharePoint 2013. Prepare business, user and functional requirements and specifications. Implement information and data quality practices. Experience in providing support for business systems to all levels of stakeholders including Demonstrated knowledge of and ability to configure SharePoint 2013 and using out of the box tools and functions. Testing, data management, content management, information architecture. Experience in working with project methodologies and IT systems lifecycles. Demonstrated understanding of information management principles and practices, records and document management, and technology systems and applications for managing information and data. Highly developed oral and written communication skills, including instructional and formal presentation experience. Demonstrated ability to provide technical advice to both technical and non-technical audiences. It is a requirement that all applicants are Australian Citizens with a security clearance. Please contact Jessica Geria on 02 6285 3500 or alternatively e-mail Jessica.Geria@talentinternational.com. Click the ""APPLY FOR THIS JOB' button below. Ref: 515645 4 days ago - Save Job - Original Job View or apply to job Other Jobs You May Like Business Analyst Macro Recruitment - Canberra ACT Perform Zone ATS (R) - 7 hours ago Easily apply to this job Business Analyst Aurec - Canberra ACT 1 day ago Business Analyst Aurec Human Capital Group - Canberra ACT 1 day ago Business Analyst HiTech Personnel - Canberra ACT 4 days ago Business Information Analyst jobs in Canberra ACT Jobs at Talent International in Canberra ACT",https://au.indeed.com/viewjob?jk=c5981a8e2363a94c&from=tp-serp&tk=1c3d5uqob10ar706
3,Business Process Analyst,PRA Digital,Melbourne VIC,Nothing Found,"Join the Project Services team of a reputable and renowned entity within the telecommunications industry. Based in Melbourne’s CBD, the role is required to assist with local and interstate business-units to establish timelines of complex technology-driven projects. The role Gathering and documenting detailed business requirements end to end Providing ""current state"" and ""future state"" Hold one-to-one sessions with subject matter experts to understand their business processes. Complete reporting on process mapping and project progress. Oversee risk and issue monitoring and resolution Support senior project team members to meet project deliverables Ability to capture critical processes and document them in an articulate fashion Contribute to the identification and effective management of risks, issues and interdependencies Risk, Governance and Compliance to be the unpinning characteristics of all initiatives About You Minimum of 4 years of a Business Process Analyst role Demonstrated experience in proactively managing Governance, Risk and Compliance Being involved in either the Telecommunications or Financial Services industry is highly regarded Confident and charismatic personality Demonstrated experience in holding workshops and training Strong external and internal stakeholder management skills. Strong analytical skills Proficient with Microsoft’s suite of products 5 days ago - Save Job - Original Job Apply Now Other Jobs You May Like Business Process Analyst Professional Recruitment Australia - Melbourne VIC 5 days ago hr process analyst - process improvement HR Partners - Parkville VIC 1 day ago Business Process Analyst PRA - Melbourne VIC 5 days ago PROCESS ANALYST Telstra - Melbourne City Centre VIC 1 day ago Business Analyst / Process Analyst Appetency Recruitment Services - Melbourne VIC 30+ days ago Easily apply to this job Business Process Analyst jobs in Melbourne VIC Jobs at PRA Digital in Melbourne VIC",https://au.indeed.com/viewjob?jk=74f40b4c0620e6e4&from=tp-serp&tk=1c3d5uqob10ar706
4,Business Process Analyst,Professional Recruitment Australia,Melbourne VIC,Nothing Found,"Join the Project Services team of a reputable and renowned entity within the telecommunications industry. Based in Melbourne’s CBD, the role is required to assist with local and interstate business-units to establish timelines of complex technology-driven projects. The role Gathering and documenting detailed business requirements end to end Providing ""current state"" and ""future state"" Hold one-to-one sessions with subject matter experts to understand their business processes. Complete reporting on process mapping and project progress. Oversee risk and issue monitoring and resolution Support senior project team members to meet project deliverables Ability to capture critical processes and document them in an articulate fashion Contribute to the identification and effective management of risks, issues and interdependencies Risk, Governance and Compliance to be the unpinning characteristics of all initiatives About You Minimum of 4 years of a Business Process Analyst role Demonstrated experience in proactively managing Governance, Risk and Compliance Being involved in either the Telecommunications or Financial Services industry is highly regarded Confident and charismatic personality Demonstrated experience in holding workshops and training Strong external and internal stakeholder management skills. Strong analytical skills Proficient with Microsoft’s suite of products 5 days ago - save job - original job View or apply to job Other jobs you may like Business Process Analyst PRA Digital - Melbourne VIC 5 days ago hr process analyst - process improvement HR Partners - Parkville VIC 1 day ago Business Process Analyst PRA - Melbourne VIC 5 days ago PROCESS ANALYST Telstra - Melbourne City Centre VIC 1 day ago Marketing Analyst - Financial Advice Robert Walters - Melbourne City Centre VIC 21 days ago Business Process Analyst jobs in Melbourne VIC Jobs at Professional Recruitment Australia in Melbourne VIC",https://au.indeed.com/viewjob?jk=6a16258c537355e8&from=tp-serp&tk=1c3d5uqob10ar706
5,Business Analyst / Process Analyst,Appetency Recruitment Services,Melbourne VIC,Nothing Found,"Job Description An experienced Business or Process Analysts with strong analysis or process skills coupled with the ability to build relationships and facilitate discussion on process improvement with various levels within an organisation and enable change, you take pride in delivering strong outcomes and act as a bridge between business and IT. We are currently have several opportunities for consultants with great communication and stakeholder skills, with desirable experience in Training and Agile: Successful candidates will be able to demonstrate previous or current experience in Business requirements gathering or Process Design Capability Use case preparation Information management Useability design Workshop facilitation Desired Skills & Experience: Degree qualified in Computer Science, Information Systems/Technology or similar Training delivery experience Ability to work in a collaborative team environment, including working with and managing remote teams Excellent written and verbal communication skills Consultative approach Good stakeholder management Outcome based and results focused Current or previous consulting would be an advantage Qualifications in Agile, BABOK, ITIL, PMBOK or TOGAF highly regarded Experience in QA activities and required unit, system and integration testing would be an advantage / bonus. 30+ days ago - save job - original job » Apply Now Indeed will send your application to jobapplications@appetency.com.au. Please review all application instructions before applying to Appetency Recruitment Services. Other jobs you may like hr process analyst - process improvement HR Partners - Parkville VIC 1 day ago PROCESS ANALYST Telstra - Melbourne City Centre VIC 1 day ago Business Process Analyst PRA Digital - Melbourne VIC 5 days ago Business Process Analyst Professional Recruitment Australia - Melbourne VIC 5 days ago Business Process Analyst PRA - Melbourne VIC 5 days ago",https://au.indeed.com/viewjob?jk=91f1a04abe9f28e8&from=tp-serp&tk=1c3d5uqob10ar706
6,"APS6 Systems Analyst, Canberra",Australian Criminal Intelligence Commission (ACIC),Canberra ACT,"$77,924 - $88,183 a year","The Technology Directorate is responsible for the Plan, Build and Run of all ACIC ICT capability projects, including the development and realisation of the ACIC’s ICT Strategy, the delivery of all ICT projects and programs and for ICT related engagement with partner agencies. The Chief Technology Officer (CTO) branch within the Technology Directorate is responsible for: • Ensuring the continuity of the agency’s ICT systems to support the effective conduct of its law enforcement activities. • Planning and collaborating on the build of innovative ICT solutions. • Ensuring connectivity between the agency's ICT systems and external systems and ongoing access to critical sources of data. System Support Services sits within the CTO and is responsible for Application development, support and integration, systems analysis, and quality assurance. The Systems Analyst role is positioned within System Support Services and is responsible for interpreting and analysing business/system requirements and transforming these into functional specifications and related documentation to be used during ICT build/development phases. They are required to construct optimal system design solutions to meet complex business/systems requirements in a dynamic and changing environment. Systems Analysts are also responsible for the delivery of various instructions manuals, training materials, and standard operating procedures required to manage the ongoing support of the solutions developed. Ideally they will possess tertiary qualifications in ICT or a related field and substantial experience (five or more years) in business or systems analysis. Contact Officer: Glenn, 02 6268 7857 This is a position of trust. The occupant must satisfy and abide by the Commission’s security requirements, which include Australian citizenship. The occupant must also satisfy a rigorous security assessment by the Australian Government Security Vetting Agency and is required to gain and maintain an NV1 clearance. In assessing suitability for employment the ACIC conducts a pre-employment screening process. This requires the applicant to complete a pre-employment screening form for the purpose of character and background checking, and a psychological assessment. HR Recruit - HR Recruit - 1 day ago - save job - original job View or apply to job Other jobs you may like System Analyst Hudson - Canberra ACT 19 days ago Systems Analyst Interpro - Canberra ACT 30+ days ago Easily apply to this job Multiple Systems Analyst HiTech Personnel - Canberra ACT 4 days ago Systems Analyst - July 2018 contract Talent International - Canberra ACT 4 days ago User Interface Designer HiTech Personnel - Canberra ACT 4 days ago System Analyst jobs in Canberra ACT Jobs at Australian Criminal Intelligence Commission in Canberra ACT",https://au.indeed.com/viewjob?jk=726ff13ab9578ab9&from=tp-serp&tk=1c3d5uqob10ar706
7,Test Analyst - Superannuation,konnectit Solutions,Sydney NSW,"$80,000 - $90,000 a year","Duties and Responsibilities: Preparation of test scenarios and test cases. System, UAT and end to end testing across multiple platforms. Facilitation of business process re-engineering, testing data migration and inputs into solution design. Defect reporting and other testing related deliverables. You must possess: A minimum of 3 years testing experience with 1 year in Superannuation Industry for Test Analysts . A minimum of 5 years testing experience with 2 years in Superannuation Industry for Senior Test Analysts . Strong experience in full lifecycle testing. Experience in Fund Migration/Data migration is a must. Experience in Defined Benefits/Pensions/Unit Pricing would be beneficial. Systems experience in superannuation or wealth platforms Proven ability to translate business requirements into testing solutions. Experience in development of test requirements and test cases. Experience in the analysis, classification and tracking/reporting of defects. High level communication skills demonstrating an ability to communicate at the technical, business and personal levels. Automation Experience is added advantage. Experience within financial services, banking or wealth management would be advantageous. Local experience is mandatory . If this interests you, then please Apply now. Job Type: Full-time Salary: $80,000.00 to $90,000.00 /year Required experience: Testing: 3 years Superannuation: 1 year 30+ days ago - save job » Apply Now Please review all application instructions before applying to konnectit Solutions. Apply Now Other jobs you may like Test Analyst ITL Australia - Sydney NSW Infosys - 4 days ago IT Test Analyst - Law firm - Must have Austra... Michael Page - Sydney Central Business District NSW Michael Page AU - 4 days ago Test Analyst Genesis IT&T Pty Ltd - Sydney NSW 13 days ago Test Analyst Adaps - Sydney NSW 1 day ago Test Analyst Programmed Professionals - Sydney NSW Programmed - 1 day ago",https://au.indeed.com/viewjob?jk=cfaa261911f990c9&from=tp-serp&tk=1c3d5uqob10ar706
8,Business Analyst - EDRMS,Finite,Brisbane QLD,$80 - $90 an hour,"3 month contract EDRMS Project Brisbane CBD This role is to participate as a business analyst and assist the Manager, ICT Delivery in the review of existing electronic document storage and define options and recommendations for the future location of these documents (either in an enterprise EDRMS or in the existing application). It will work with the business and technical community to identify the business needs, develop business case, and support planning associated with the technical aspects of the procurement, development, testing and implementation of solutions. If required, the role will implement proof of concept technologies to demonstrate and validate possible solutions and deepen business understanding of capabilities. Key Requirements Demonstrated experience in analysis, interpretation and translation of business requirements into viable solutions and compelling business cases Demonstrated experience in delivery of digital services, particularly relating to effective storage, access and disposal of digital documents. Demonstrated high order written and verbal communication skills and ability to influence. Strong understanding of contemporary digital platforms, information security, and architecture standards. In depth understanding of various software development methodologies (e.g. Agile, Waterfall). This role closes Friday 12th January 2018. To be considered for this opportunity, apply now or contact Graham Eather on 07 3232 2300. 1 day ago - save job - original job » Apply Now Please review all application instructions before applying. Apply Now Other jobs you may like Principal Business Analyst Hudson - Brisbane QLD 4 hours ago Principal Business Analyst Paxus - Brisbane QLD Paxus Australia Pty Ltd - 22 hours ago Business Analyst - EDRMS Finite IT - Brisbane QLD 1 day ago Principal Business Analyst u&u Recruitment Partners - Brisbane Central Business District QLD 2 hours ago Principal Business Analyst - Office 365 Hays - Brisbane Central Business District QLD 20 hours ago",https://au.indeed.com/viewjob?jk=6b26348d8540969f&from=tp-serp&tk=1c3d5uqob10ar706
9,"Manager, Claims Analytics and Business Intelligence",Auto & General Insurance,Brisbane QLD,Nothing Found,"Our company: A growing company with a global presence for over 20 years, we have over 8.9 million customers worldwide. In Australia, Auto & General launched in 2000 and we provide motor, home, travel, life and many other personal insurance products to a large and growing customer base. We are Money Magazine’s 2017 Insurer of the Year and we have held the prestigious CANSTAR ‘Outstanding Value Car Insurance’ award eleven years running. A team of 1400+ and still counting, we are looking for more talented people to help us continue our sustainable growth. The role: Reporting to the General Manager, Finance Business Partnering, Claims & Assessing, this is an exciting opportunity and newly created role with direct responsibility for the development of meaningful reporting and analysis to support the Claims & Assessing leadership team. In this role you will: Lead and develop a team of Business Performance Analysts in an inclusive and collaborative way that creates an engaged and enabled workforce, committed to delivering industry-leading outcomes; In partnership with the Data Warehouse team, design and develop future state reporting and analysis solutions; Promote a transparent and vibrant working environment that drives consistency and certainty for Claims & Assessing stakeholders in the determination and setting of relevant KPIs and targets to measure future performance against business strategy; Develop, implement and maintain modelling/reporting from varying sources of complex information; Identify cost trends and claims leakage, and propose recommendations for fit-for-purpose corrective actions; and Support yearly planning and strategies for the Home Claims and Technical Claims businesses which support the successful delivery of cost, quality and timeliness outcomes. To be successful you will have: An inclusive state of mind, an ability to work alongside a diversity of colleagues and values all unique perspectives; Experienced customer focused senior leadership across an analytics team and across a broad Claims Operational Management team; The demonstrated ability to future proof for a growing business; Demonstrable experience developing a data warehouse; Specialised working knowledge of claims insurance business and processes, understanding of the factors that influence the claims cost, effectiveness and service delivery; Ability to summarise large volumes of data and communicate results to business stakeholders effectively, understanding overall results at detailed level; Advanced skills in Microsoft Excel and SAS/equivalent Proven relationship management abilities, including strong internal and external stakeholder management; A deadline and accuracy driven mindset, with the highest attention to detail; Advanced analytics and problem solving capability; Ability to innovate and be creative in developing processes and procedures; Demonstrated capacity for self-management and collaborative decision-making; and Resilience and the ability to positively accept, drive and promote change. A minimum bachelor’s qualification in commerce, finance and/or business is essential. In return: You will have the opportunity to join a world class organisation & play an important role in its continued (and exiting) growth. We offer an excellent remuneration package and outstanding employee benefits. You will experience a great company culture and great work/life balance. If you are seeking a new challenge and enjoy the opportunity to work in a growing and changing business, click on the APPLY NOW button and submit your application. Alternatively, for a confidential discussion please contact Hannah Limberger-Forte on (07) 3377 8875. Auto & General welcome and value diversity in the workplace. 6 days ago - Save Job - Original Job View or apply to job Other Jobs You May Like Business Intelligence Manager Professional Recruitment Australia - Brisbane QLD 8 hours ago Business Intelligence Specialist TEKsystems - Brisbane Central Business District QLD TEKSystems - 5 days ago Business Intelligence Specialist Hays - Brisbane Central Business District QLD 5 days ago Business Intelligence & Analytics Project Man... Hudson - Brisbane QLD 19 days ago Project Manager - Business Intelligence Davidson - Brisbane QLD Davidson Recruitment - 27 days ago Manager jobs in Brisbane QLD Jobs at Auto & General Insurance in Brisbane QLD",https://au.indeed.com/viewjob?jk=5e57efa80430eda2&from=tp-serp&tk=1c3d5uqob10ar706
