,Jobs,Companies,Locations,Salaries,Summaries,Link_Page
0,Data Fulfillment Analyst,Equifax,Sydney NSW,Nothing Found,"Equifax powers the financial future of individuals and organisations around the world. Using the combined strength of unique trusted data, technology and innovative analytics, Equifax has grown from a consumer credit company into a leading provider of insights and knowledge that helps its customers make informed decisions. The company organises, assimilates and analyses data on more than 820 million consumers and more than 91 million businesses worldwide, and its database includes employee data contributed from more than 6,600 employers. Data Fulfilment Analysts use their data manipulation skills and attention to detail in the delivery of offline products and services, predominately supporting consumer risk, commercial risk and marketing services areas. The role will require working on multiple projects at the same time, and the ability to work independently to deliver quality work. In the Fulfilment team, this would entail stakeholder management, liaising with clients, providing regular progress updates to the Lead Analyst and QC Analyst, and responsibility for quality and on time delivery. The Data Fulfilment Analyst will be engaged to perform QC and mentor/train junior analysts. Day to day requirements of this role will include: Extract and manipulate information from internal databases in order to satisfy client requirements, delivering quality output in agreed timeframe Write and understand SQL queries to facilitate data extraction and manipulation. Possible use of additional visualisation software packages, such as Tableau. Process and analyse large volumes of data generally in the fields of Marketing lists or Credit Reporting batch products and services Quality checks own and other analyst's output, to ensure error-free delivery of information and reports to clients. Pre-process client data for matching/de duplication/appending purposes The required skills are: Experience in a data operations / database marketing / risk analysis environment or solutions delivery SQL language experience. ETL Experience Demonstrates technical competence and business acumen. Proficient SQL skills Proficient in most Microsoft Office Applications (Word, Excel and PowerPoint) Desired skills: Experience in Tableau, Access, VBA, SSIS, Python Experience with campaign management platforms (e.g. Adobe) Experience working with marketing data or within a development environment Database management and manipulation experience Prior experience in standardization and automation of processes. Client facing experience Why apply for this role and join Equifax? Opportunity to work in a fast paced environment Extensive career progression opportunities available within a global company This really is a great opportunity to join an industry leader not only in the local market but the global market. If you feel you have the required competencies to fulfil our needs we invite you to apply. Primary Location: AUS-Sydney-90-Arthur Function: Function - Fulfillment / Operations Schedule: Full time 18 hours ago - save job - original job View or apply to job Other jobs you may like Operational Data Analyst HCM Australia - Sydney NSW 1 hour ago Data Analyst - Reporting Morgan McKinley - Sydney Central Business District NSW 4 hours ago Financial Data Analyst for Bella Vista Robert Half Australia - Sydney NSW 23 hours ago CRM Salesforce/Data Analyst FutureYou - Sydney NSW FutureYou Executive Recruitment - 22 hours ago Data Analyst - Consumer Retail The Acquire Group - Sydney NSW 1 day ago Data Fulfillment Analyst jobs in Sydney NSW Jobs at Equifax in Sydney NSW",https://au.indeed.com/viewjob?jk=bab65e4b2d53b57d&from=tp-serp&tk=1c3cvdaem80ko911
1,Reporting Analyst -Parramatta-12 month Contract,ignite,Sydney NSW,$50 - $55 an hour,"I am looking for a Reporting Analayst to join a Large Telco Organisation in Parramatta on a 12 month + daily rate contract. Job Details: Responsible for generation of reports and providind analysis of results SQL Programming VBA Qlikview MS Office - Excel/ Powerpoint Strong Stakeholder Manaagement skills Experience with Data / Process Analysis If you feel you have the credentials to thrive in this thrive in this role, please don't hesitate to apply. 30+ days ago - save job - original job » Apply Now Indeed will send your application to alex.m.a4lkaj5j3wv9@igniteservices.aptrack.co.uk. Please review all application instructions before applying to ignite. Apply Now Other jobs you may like Reporting Process/ Business Analyst Ethos BeathChapman - Sydney NSW 21 days ago Reporting Analyst -Parramatta-12 month Contra... Ignite Specialist Recruitment Services - Sydney NSW 30+ days ago Reporting Analyst Programmed Professionals - Sydney NSW Programmed - 21 days ago Financial Reporting Analyst FutureYou - Sydney NSW FutureYou Executive Recruitment - 22 hours ago Data/ Report Analyst Michael Page - Sydney NSW Michael Page AU - 12 days ago",https://au.indeed.com/viewjob?jk=1a20c73bc14bcbd1&from=tp-serp&tk=1c3cvdaem80ko911
2,Data Analyst,Ignite,Canberra ACT,"$80,000 - $90,000 a year","Job Role The Data Analyst works with stakeholders, business subject matter experts (SME’s) and related third parties specific to a project scope and context to identify define and document business activities, processes, work flows and software requirements. Key Responsibilities Create and maintain test data required to exercise test cases. Work within and support the company's environment and culture. Assist in the improvement of project processes, documentation and templates. Build and maintain relationships with project stakeholders and business SME’s to ensure understanding of current business activities and future business requirements. Other duties within the employee’s skill, competence and training. Define the scope of business improvements within a project context. Create and maintain business activity and process definitions for project business improvements within an organisational-wide target state model. Develop business scenarios and use cases as ICT system requirements to implement relevant Qualifications, knowledge and experience (Selection Criteria) Qualifications in ICT, project management (PRINCE2 or PMBOX), business administration or similar. Advanced skills in MS Office (Word, Excel, PowerPoint), Visio, MS/Project and HPQC (or similar). Knowledge of the business of a regulated utility, its structure and operations. Experience in ICT and process-centric projects in a commercial environment. Experience in engaging, influencing, negotiating and collaborating with a range of business stakeholders to develop ongoing working relationships that achieve positive outcomes. Experience in complex, dynamic, fast paced environments where new problems and issues frequently arise which require new methods to be created. Ability to analyse and document complex business processes. Ability to make effective decisions under pressure. Ability to think analytically and should be a problem solver. Ability to gather and interpret relevant data and information. 30+ days ago - save job - original job » Apply Now Indeed will send your application to newman.p.a4lkaj5j2qgy@igniteservices.aptrack.co.uk. Please review all application instructions before applying to Ignite. Apply Now Other jobs you may like Data Analyst - APS5-APS6 6 Month Contract On Q Recruitment - Canberra ACT 1 day ago APS6 Data Analyst Hays - Canberra ACT 5 days ago Data Analyst Chandler Macleod - Canberra ACT 19 days ago Data Migration Analyst DFP Recruitment Services - Canberra ACT 20 days ago",https://au.indeed.com/viewjob?jk=e09ad815def1c856&from=tp-serp&tk=1c3cvdaem80ko911
3,Data Analyst,University of New South Wales,Kensington NSW,"$82,417 - $87,919 a year","Data Analyst UNSW Medicine School of Psychiatry One of Australia’s leading research & teaching universities Vibrant campus life with a strong sense of community & inclusion Enjoy a career that makes a difference by collaborating & learning from the best At UNSW, we pride ourselves on being a workplace where the best people come to do their best work. The Department of Developmental Disability Neuropsychiatry has been set up by the Inaugural Chair in Intellectual Disability Mental Health at UNSW to generate translational research and advocacy in the area of intellectual disability mental health. About the role $82,417 - $87,919 plus (9.5% Superannuation and annual leave loading less) Fixed Term for 12 months Full-time or Part-time (minimum 28 hours per week) The Data Analyst will assist in managing and coordinating a linked dataset and the linkage to further sets under the NHMRC funded Partnership for Better Health Project Grant entitled Improving the Mental Health Outcomes for People with an Intellectual Disability (ID). The Data Analyst will coordinate the statistical design, analysis and reporting of epidemiological studies and execute data cleaning and data management processes. About the successful applicant To be successful in this role you will: Advanced semonstrated skills in statistical analysis of epidemiology . Demonstrated high level research and data analysis skills. Post-graduate qualifications in statistics, biostatistics, computer sciences or epidemiology, with an understanding of health service utilisation issues. You should systematically address the selection criteria listed within the position description in your application. Please apply online - applications will not be accepted if sent to the contact listed. Contact: Dr Preeyaporn Srasuebkul E: preeyaporn.srasuebkul@unsw.edu.au T: (61 2) 9385 1344 Applications close: 22 January 2018 26 days ago - save job - original job View or apply to job Other jobs you may like Operational Data Analyst HCM Australia - Sydney NSW 1 hour ago Data Analyst - Reporting Morgan McKinley - Sydney Central Business District NSW 4 hours ago Data Fulfillment Analyst Equifax - Sydney NSW 18 hours ago Financial Data Analyst for Bella Vista Robert Half Australia - Sydney NSW 23 hours ago CRM Salesforce/Data Analyst FutureYou - Sydney NSW FutureYou Executive Recruitment - 22 hours ago Data Analyst jobs in Kensington NSW",https://au.indeed.com/viewjob?jk=5a7178dba0cacc33&from=tp-serp&tk=1c3cvdaem80ko911
4,Junior Data Analyst,Football Australia,Australia,Nothing Found,"footb all FFA.com.au Play Football ALDI MiniRoos News CATEGORIES FFA News Referee News About FEATURED 20 Year Plan About the FFA Who We Are Jobs Contact MORE Partners A-League Referees W-League Referees Governance FEATURED Statutes and Regulations Intermediaries Member Protection Framework FFA Integrity Framework National Banning Regulations REPORTS Financial Reports 2017 Annual Review Tribunal Decisions 2017 Annual General Meeting More Legal Notice Privacy Policy FFA Heat Policy Get Involved Coaches About Coaching Advanced Coaching Referees Refereeing Become a Referee Resources More Women's Football Visit MyFootballClub Join the Football Family Shop footb all FFA.com.au Play Football ALDI MiniRoos Junior Data Analyst Junior Data Analyst Football Federation Australia (FFA) is the national governing body for football in Australia. It governs all national teams (including the Caltex Socceroos and Westfield Matildas), the Hyundai A-League, Westfield W-League, Foxtel Y-League, Westfield FFA Cup, National Premier Leagues and also leads state, community and grass roots football. FFA has developed a strategy to become technology and knowledge leaders, providing great experiences to the country’s biggest participation base and football’s 7 million fans. This will be achieved with by connecting the digital experience of the football community across all aspects of their engagement and leveraging new technology to support the business. As a Junior Data Analyst you will be responsible for data analysis across multiple sets of data from Participation & Fan data platforms, meeting business requirements in visualizing data, maintaining integrity and delivering in a timely manner. Key Areas of Responsibility Creation and maintenance of reports using reporting services and data visualisation tools e.g. Tableau Work with the data & technical manager to deliver to the business, continuously improving the digital footprint and customer satisfaction. Support the ongoing delivery of a range of complex data fulfilment requests. Knowledge, skills and behaviour required Strong technical skills and experience (1-2yrs) using SQL to extract, manipulate and merge large volumes of customer behavioural or transactional data from a variety of source systems (e.g. Microsoft Dynamic CRM, SQL Server, AWS RDS – Redshift / Aurora, MySQL, Elasticsearch) Strong skills in Excel Graduate or one year of experience working in a commercial environment with large volumes of data relating to; customer insights, marketing campaigns, customer reporting, statistical modelling and marketing mix modelling Strong attention to detail, prioritization, & process improvement skills. Educated to a minimum of degree level in a highly analytical discipline such as - Mathematics, Statistics, Data Science, Computer Science Willingness to continually improve, looking for and taking advantage of opportunities to learn new skills and develop strengths Strong communication. FFA People & Culture FFA’s staff culture is an evolving process of continuous improvement with a consistent passion across the business for growing the game to become Australia’s number 1 sport. FFA’s existing and incoming staff all need to align to the organsiation’s values - People, Collaboration, Integrity, Whole of Game, Unlimited Potential and Excellence. More recently there has been a conscious focus on improving flexibility and work life balance within FFA through the introduction of the FFA People & Work Approach. This allows individuals to develop informal work arrangements to suit their personal situations. Apply now for this exciting opportunity by sending your resume to recruitment@ffa.com.au . Please be specific in the application the role you are applying for by outlining in the email subject. Only candidates selected for the short list will be contacted in relation to this role. Official Partners of Football Federation Australia Locked Bag A4071 Sydney South, NSW 2000, Australia +61 (2) 8020 4000 Join the Football Family Featured Latest News Who We Are Partners Contact Governance Statutes and Regulations Financial Reports Intermediaries Tribunal Decisions Get Involved Get Involved Coaching Refereeing Women's Football Visit MyFootballClub footb all Privacy Policy | Legal Notice © 2017 Football Federation Australia ABN 28 106 478 068 | All Rights Reserved 4 days ago - save job - original job » Apply Now Indeed will send your application to recruitment@ffa.com.au. Please review all application instructions before applying to Football Australia. Apply Now",https://au.indeed.com/viewjob?jk=0b502f2d2d965455&from=tp-serp&tk=1c3cvdaem80ko911
5,Junior Data Analyst,Ironbark,Eight Mile Plains QLD,Nothing Found,"Junior Data Analyst If you are about to graduate or are a recent Business or IT graduate and would give everything to join a young dynamic team of professionals, then this is your opportunity! You will be mentored and challenged to develop to your full potential. Please send your CV to: careers@ironbark.com.au 30+ days ago - save job » Apply Now Indeed will send your application to careers@ironbark.com.au. Please review all application instructions before applying to Ironbark. Apply Now",https://au.indeed.com/viewjob?jk=6858ebf93c938a8d&from=tp-serp&tk=1c3cvdaem80ko911
6,DATA ANALYST,Brisbane City Council,Brisbane QLD,"$72,214 - $82,438 a year","Req ID: 116664 Personnel Area: Brisbane Infrastructure Branch: Fleet Solutions Salary Range: $72,214 - $82,438 Work type: Permanent Full-time Data Analyst We are looking for a motivated Data Analyst to join our team to support our strategic direction to deliver a commercially sustainable, efficient and future focused fleet experience for Council. Fleet Solutions branch manages every step of the lifecycle of Brisbane City Council’s fleet – we plan, we procure, we maintain, we repair and we dispose. Our task is as big as it is exciting. Last year alone we: Managed more than 4500 assets valued at around $105 million Procured $18m in new fleet Disposed $4 million of fleet Managed all of Council’s tracking, fuel, eToll, registration and car pool requirements. We focus on zero harm and wellness and our values-based, respectful culture means our people are highly engaged and eager to take Fleet Solutions into the future. Our vision is to be adaptive, flexible and agile to deliver outcomes to best position Council to meet current and future fleet needs. It’s exciting times in the fleet industry with electric and autonomous vehicles and virtual reality being just a few technologies we are adopting or looking to adopt in our fleet. As a Data Analyst in the Future Fleet team you’ll bring strong analytical, conceptual and problem solving skills to contribute to a customer-centric and innovative fleet business. You’ll have experience working with SAP, particularly in the areas of plant maintenance, logistics and finance along with experience and skills using business intelligence systems to produce reporting and dashboards to support our business in decision making. Do you want to be part of a dynamic, values-based team looking for leading-edge ways to address Council’s future fleet needs? If you think you are the right person to take on this exciting challenge, we are keen to hear from you. Benefits of working for Council include: flexible working hours, and flexible arrangements award winning superannuation fund generous leave provisions competitive salary. Working in Council means delivering excellent customer service to the people of Brisbane. How to apply: Click on the 'Apply' button below to complete your online application. Please upload your current resume and covering letter (of no more than one page) that demonstrates how you meet the requirements of this role. This role will require a Criminal History Check/Working with Children Check. Position description: CLICK HERE NB. Right click on link and copy shortcut into a new browser for example, Chrome. Information kit: CLICK HERE NB. Right click on link and copy shortcut into a new browser for example, Chrome. More information: Phone John Hefez 07 3178 3859. (Please note the Recruitment Centre will be closed for enquiries from Saturday 23 December 2017 and opening again on Tuesday 2 January 2018). Closing Date: 9th January 2018 at 11:55pm Brisbane City Council is a multi-award winning accessible and inclusive workplace. Council was awarded the 2016 Employer of Year at the National Disability Awards. Employees must apply for internal vacancies while at work signed in to Council’s system (Single Sign On) or from home using a Remote Connection Service using an RSA SecureID token to log into the system. Field based employees will be provided a system log in and password to enable them to apply online. Employees can call Resource and Contractor Management for additional assistance. 30+ days ago - save job - original job View or apply to job Other jobs you may like Data Analyst Professional Recruitment Australia - Brisbane QLD 4 days ago Data Analyst PRA - Brisbane QLD 4 days ago AO6 Data Analyst and Project Support Officer Hudson - Brisbane QLD 20 days ago Business/Data Analyst Hudson - Brisbane QLD 29 days ago AO6 Data Analyst Kelly Services - Brisbane QLD 21 days ago Data Analyst jobs in Brisbane QLD Jobs at Brisbane City Council in Brisbane QLD",https://au.indeed.com/viewjob?jk=aa1f66cbb5e29958&from=tp-serp&tk=1c3cvdaem80ko911
7,Junior Data Analyst/Scientist,International Institute of Data & Analytics,Sydney NSW,Nothing Found,"The International Institute of Data & Analytics (IDA) is a not-for-profit hi-tech organization with foci on data science and big data analytics innovation, education and training, and commercialization and services. IDA offers unique experiences and engagement models for bridging the gaps between academia and business, enabling industry and government 'easy to do business with’ leading scientists and specialists in data & analytics, and building a platform for engagements and collaborations between outstanding researchers, practitioners and educators. In data science and big data analytics, the IDA creates enablers for: Leading the field of data science and analytics innovation, training and services by building think-tank and thought leadership, and next-generation of data scientists and professionals; transforming excellent research and innovation outcomes to actionable data science and analytics systems, tools, services and training for industry innovation and transformation; and building a flexible and engaging culture and platform to connect local, regional and global resources in data & analytics research and business towards developing world-class centre of excellence and research networks. You shall find the IDA team very self-motivated, high standard and forward thinking focused, and highly hands-on. Responsibilities Collaborate with team leader and senior data scientists, as well as clients and internal stakeholders to understand and document their business requirements, problems and objectives. Understand data structures and business and extract and integrate required data sources for analysis according to business requirements. Develop and evaluate data analytics models, algorithms, systems and solutions, including undertaking data extraction, pre-processing, modeling, evaluation, deployment, and maintenance. Collaborate with senior data scientists and team leader and clients to productise and pilot analytical models for production and insight per clients required. Undertake cost-benefit, forecasting and impact analysis by effective presentations of data-driven findings to clients and stakeholders. Document and communicate all relevant work and work outcomes. Qualifications Solid background, knowledge and capabilities in statistics, mathematics, computer science, informatics, computing, or closely relevant scientific field. Experienced in data-driven analytics hands-on experience with deep know-how of predictive modeling, machine learning and data mining, and relevant modeling approaches and algorithms. Demonstrated capabilities to develop and evaluate statistical analysis and modeling algorithms and apply these algorithms for data-driven solutions to problems in new domains. Demonstrated knowledge of SQL (data extraction and manipulation), expertise in SAS programming, and software development skills in one to several scripting languages (Python/R). Demonstrated capabilities to communicate and engage with a range of stakeholder groups and technical project teams. Demonstrated capabilities to work effectively as a member of a data science project team. Demonstrated experience for independent problem-solving and self-motivated innovation, education and services. Contact: Jinjiu.Li@idawise.com 15 days ago - save job - original job View or apply to job Other jobs you may like Junior / Mid Level Data Scientist x 2 TheDriveGroup - Sydney NSW 22 days ago Data Scientist Munich Re - Sydney NSW Munich RE - 15 days ago Research & Solutions Consultant NeuroLeadership Institute - Sydney NSW 25 days ago Junior Business Intelligence Consultant Triatin Pty Ltd - Sydney NSW 19 days ago Easily apply to this job Consultant NeuroLeadership Institute - Sydney NSW 30+ days ago Junior Data Analyst Scientist jobs in Sydney NSW",https://au.indeed.com/viewjob?jk=8bea47ce9c4d9b34&from=tp-serp&tk=1c3cvdaem80ko911
8,Junior-Data-and-Reporting-Analyst,Healthdirect Australia,Sydney Central Business District NSW,Nothing Found,"The Data Analyst extracts, analyses and interprets data received from external service providers and relevant internal sources, creating regular and ad hoc reports for a range of audiences. The role includes providing advice on service improvement opportunities as well as service delivery compliance. Responsibilities of this role include; Effective management of assigned Healthdirect Australia data sets Delivery of assigned Healthdirect Australia Service reporting Provision of reporting and analysis expertise to company personnel and stakeholders to support timely delivery of ad hoc reporting. Participation in and contribution to a high performing team The successful candidate will have; Tertiary qualifications in mathematics, statistics, science, engineering, philosophy, business, economics or any other related field Experience in the interpretation and visualisation of data and in a clear and concise form Apply today if you are looking to join a company where the staff are proud to work, care about health consumers, like a challenge, share knowledge and provide real value. To submit your interest in this role, please forward a copy of your resume and cover letter to careers@healthdirect.org.au. Please be aware that you must have the right to live and work in Australia to apply for this job. We encourage Aboriginal and Torres Strait Islander people to apply for open vacancies at Healthdirect Australia. If you would like to receive a copy of the full Job Description please contact alana.wright@healthdirect.org.au 18 days ago - save job » Apply Now Indeed will send your application to careers@healthdirect.org.au. Please review all application instructions before applying to Healthdirect Australia. Apply Now Other jobs you may like Data Governance Analyst (12 month contract) Foxtel - North Ryde NSW FOXTEL - 4 days ago",https://au.indeed.com/viewjob?jk=24ceec979bbd6fd1&from=tp-serp&tk=1c3cvdaem80ko911
9,Junior Business Analyst,Deloitte,Sydney NSW,Nothing Found,"Junior Business Analyst Our Partner Services team are growing and we have an exciting new opportunity available for a Junior Business Analyst / Project Coordinator to join the Sydney office. You will be working with a team who are committed to providing the highest quality service to Deloitte Partners Australia wide About the role: In this role you will need to be business and IT literate, with strong stakeholder management skills. You will be liaising closely with senior executives and clients whilst managing activities across the partner services team. You will be: Maintaining partner information databases Compiling various data reports Preparing presentation packs Managing adhoc IT related projects when they arise Supporting the enhanced use of technology in our team and databases About you: You will be working as a junior Business Analyst, project coordinator, or in a similar capacity. You will have strong problem solving skills, a positive and energetic nature and be confident dealing with senior executives. Key technical skills include: Expertise in computer and IT systems Adherence to confidentiality principles: ability to work with partners and with highly confidential partner data Build visualisations/graphs and supporting analytics of complex and large data sets that have value-add outputs (e.g., business insights, projections/estimates/forecasting) Large enterprise system experience (SAP, Oracle, Workday, Success Factors, PeopleSoft, etc.) you need to have performed data manipulation and assessment and analytics in these systems About us: Deloitte Culture We pride ourselves on our team of diverse, high performing Deloitte Professionals who are talented, supportive, inclusive and social – and who are at the heart of our success. Our aim is to ensure that all our people feel comfortable to bring their whole selves to work, and as a result, create a workplace that encourages the true spirit of 'And different'. From day one at our firm you’ll be considered part of the Deloitte community and our development and career progression framework will help you develop the skills and capabilities you need to succeed – in every sense of the word. Next steps… Deloitte can offer opportunities to continuously grow and improve with excellent career progression in an environment where strong performance is rewarded and celebrated. You will receive continuous career mentoring and coaching from an empowering and supportive team. Please contact Enya Farrell from the Deloitte Talent Team for further information. Deloitte Touche Tohmatsu is the DTTL member firm in Australia (“Deloitte Australia”). “Deloitte” is the brand under which tens of thousands of dedicated professionals in independent firms throughout the world collaborate to provide audit, consulting,financial advisory, risk management, tax and related services to select clients. Requisition code: AUEXP143873 20 days ago - save job - original job Apply Now Other jobs you may like Business Analyst HCF - Sydney Central Business District NSW 1 hour ago Business Analyst Chandler Macleod - Sydney NSW 3 hours ago Infrastructure Business Analyst Continuum Recruitment - Sydney NSW 5 hours ago TM1 Business Analyst/Solution Designer FutureYou - Sydney NSW FutureYou Executive Recruitment - 1 day ago Development Engineer,Business Analyst, Tester SoftLabs Pty Ltd - Sydney NSW 16 hours ago Easily apply to this job Junior Business Analyst jobs in Sydney NSW Jobs at Deloitte in Sydney NSW",https://au.indeed.com/viewjob?jk=4e647e77e86e0a70&from=tp-serp&tk=1c3cvdaem80ko911
